protein value method
1vii 2.533147097 Melhor
1vii 3.12189126 MUFOLD-CL
1vii 7.062696934 Rosetta
1vii 1.922009706 Melhor
1vii 2.147608757 MUFOLD-CL
1vii 7.308965206 Rosetta
1vii 2.346361399 Melhor
1vii 3.308223963 MUFOLD-CL
1vii 6.324505806 Rosetta
1vii 2.669546604 Melhor
1vii 2.711419821 MUFOLD-CL
1vii 5.451653957 Rosetta
1vii 2.202592134 Melhor
1vii 2.710179567 MUFOLD-CL
1vii 5.169496059 Rosetta
1vii 2.436913967 Melhor
1vii 2.871110916 MUFOLD-CL
1vii 6.639867783 Rosetta
1vii 2.37276268 Melhor
1vii 2.590012074 MUFOLD-CL
1vii 7.823628426 Rosetta
1vii 2.022903919 Melhor
1vii 2.480682611 MUFOLD-CL
1vii 4.70486021 Rosetta
1vii 2.224961996 Melhor
1vii 2.775075674 MUFOLD-CL
1vii 5.089927673 Rosetta
1vii 2.288112402 Melhor
1vii 2.672013044 MUFOLD-CL
1vii 2.674856663 Rosetta
1vii 2.283793688 Melhor
1vii 5.416415691 MUFOLD-CL
1vii 7.55938673 Rosetta
1vii 1.94152689 Melhor
1vii 2.798172712 MUFOLD-CL
1vii 6.794140339 Rosetta
1vii 2.286973953 Melhor
1vii 2.300511122 MUFOLD-CL
1vii 3.777112961 Rosetta
1vii 2.476388693 Melhor
1vii 2.782469511 MUFOLD-CL
1vii 5.434688091 Rosetta
1vii 2.087537289 Melhor
1vii 3.703463793 MUFOLD-CL
1vii 4.864847183 Rosetta
1vii 2.24841404 Melhor
1vii 3.382073164 MUFOLD-CL
1vii 5.541300297 Rosetta
1vii 2.569853544 Melhor
1vii 2.731268406 MUFOLD-CL
1vii 7.275117397 Rosetta
1vii 2.179342985 Melhor
1vii 4.219229221 MUFOLD-CL
1vii 3.942738056 Rosetta
1vii 2.362149715 Melhor
1vii 2.873819351 MUFOLD-CL
1vii 6.097886562 Rosetta
1vii 2.309356928 Melhor
1vii 2.869539261 MUFOLD-CL
1vii 2.757121563 Rosetta
1vii 2.160902023 Melhor
1vii 3.180639505 MUFOLD-CL
1vii 6.474575996 Rosetta
1vii 2.29117012 Melhor
1vii 2.617706299 MUFOLD-CL
1vii 4.619180202 Rosetta
1vii 2.180688858 Melhor
1vii 4.754514694 MUFOLD-CL
1vii 7.58245945 Rosetta
1vii 2.421864748 Melhor
1vii 2.73287487 MUFOLD-CL
1vii 2.695561409 Rosetta
1vii 2.551888466 Melhor
1vii 3.334626675 MUFOLD-CL
1vii 4.389860153 Rosetta
1vii 2.212104559 Melhor
1vii 3.486617088 MUFOLD-CL
1vii 3.166102648 Rosetta
1vii 2.7368536 Melhor
1vii 2.840987444 MUFOLD-CL
1vii 7.767159939 Rosetta
1vii 2.274174452 Melhor
1vii 2.425950527 MUFOLD-CL
1vii 4.63173008 Rosetta
1vii 2.592585325 Melhor
1vii 3.127955914 MUFOLD-CL
1vii 3.661893845 Rosetta
1vii 2.26715517 Melhor
1vii 2.26715517 MUFOLD-CL
1vii 8.315559387 Rosetta
1vii 2.30474925 Melhor
1vii 2.403608322 MUFOLD-CL
1vii 3.665526628 Rosetta
1vii 1.837169886 Melhor
1vii 2.227587461 MUFOLD-CL
1vii 4.091970444 Rosetta
1i6c 3.656660795 Melhor
1i6c 4.263889313 MUFOLD-CL
1i6c 8.852620125 Rosetta
1i6c 3.303601265 Melhor
1i6c 4.219465733 MUFOLD-CL
1i6c 8.103288651 Rosetta
1i6c 4.16118288 Melhor
1i6c 5.427872181 MUFOLD-CL
1i6c 7.472501278 Rosetta
1i6c 3.021897793 Melhor
1i6c 4.925219536 MUFOLD-CL
1i6c 8.233906746 Rosetta
1i6c 4.112746239 Melhor
1i6c 4.356377125 MUFOLD-CL
1i6c 8.919765472 Rosetta
1i6c 3.24993825 Melhor
1i6c 4.939044952 MUFOLD-CL
1i6c 9.502334595 Rosetta
1i6c 3.971716881 Melhor
1i6c 6.847934723 MUFOLD-CL
1i6c 8.019188881 Rosetta
1i6c 3.44255209 Melhor
1i6c 6.081798077 MUFOLD-CL
1i6c 7.194618225 Rosetta
1i6c 3.938801765 Melhor
1i6c 4.794361591 MUFOLD-CL
1i6c 7.693268776 Rosetta
1i6c 3.625847101 Melhor
1i6c 4.926908016 MUFOLD-CL
1i6c 7.964481354 Rosetta
